Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

,3876316774.1728,1.9998973608017,-90000.2265625,0,0.195,0.0004219621,0.0001160749,-2.961196,,,33.56934,2.29376,10,0,4.225229E-06,4.219587E-06,-2.182737E-07,,,,,,90000,-39.25513,-75.44743,,,,,,,,,,,,,,,,,,,,,518897536,0,5,4,1,,,,,,,,,,,,,,,,
,3876316775.87377,2.00818157196045,-89814.3046875,0,0.195,,,,,,,,,,,,,,,,,,,,,-0.01208351,-7.848398E-06,-179.8411,,,6.103516,2.94912,10,0,0.0001208341,-0.0001208336,-3.351227E-07,,,,,,9000,-52.18275,-65.65106,518897536,0,5,6,1,,,,,,,,,,,,,,,,
,3876316776.47111,2.00875759124756,-89697,0,0.195,0.0004213581,0.0001159674,-2.950217,,,33.56934,2.29376,10,0,4.21914E-06,4.213548E-06,-2.171518E-07,,,,,,90000,-39.1813,-74.3262,,,,,,,,,,,,,,,,,,,,,518897536,0,5,6,1,,,,,,,,,,,,,,,,
,3876316778.87522,2.00247669219971,-89220.734375,0,0.196,0.0004185949,0.0001154581,-2.950225,,,33.56934,2.29376,10,0,4.191471E-06,4.185916E-06,-2.157283E-07,,,,,,90000,-39.28053,-76.91218,,,,,,,,,,,,,,,,,,,,,518897536,0,5,6,1,,,,,,,,,,,,,,,,
,3876316779.0705,2.00198602676392,-89180.8046875,0,0.196,,,,,,,,,,,,,,,,,,,,,-0.01199814,-3.546941E-05,-179.8411,,,6.103516,2.94912,10,0,0.0001199804,-0.0001199799,-3.32755E-07,,,,,,9000,-52.02588,-65.15516,518897536,0,5,6,1,,,,,,,,,,,,,,,,
,3876316781.08538,1.99958062171936,-88781.6953125,0,0.195,0.0004152636,0.0001141466,-2.943631,,,33.56934,2.29376,10,0,4.158089E-06,4.152603E-06,-2.135322E-07,,,,,,90000,-39.26041,-79.01694,,,,,,,,,,,,,,,,,,,,,518897536,0,5,6,1,,,,,,,,,,,,,,,,
,3876316781.78692,1.99912858009338,-88641.59375,0,0.195,,,,,,,,,,,,,,,,,,,,,-0.01187658,-3.549269E-05,-179.8407,,,6.103516,2.94912,10,0,0.0001187648,-0.0001187643,-3.303009E-07,,,,,,9000,-52.05922,-64.96667,518897536,0,5,6,1,,,,,,,,,,,,,,,,
,3876316783.39637,1.99911439418793,-88322.109375,0,0.195,0.0004120743,0.0001125598,-2.926584,,,33.56934,2.29376,10,0,4.126092E-06,4.12071E-06,-2.106631E-07,,,,,,90000,-39.34763,-82.12856,,,,,,,,,,,,,,,,,,,,,518897536,0,1,6,1,,,,,,,,,,,,,,,,
,3876316784.69879,1.99917316436768,-88062.6171875,0,0.195,,,,,,,,,,,,,,,,,,,,,-0.01175435,-3.852769E-05,-179.84,,,6.103516,2.94912,10,0,0.0001175425,-0.000117542,-3.283415E-07,,,,,,9000,-52.14775,-64.90765,518897536,0,1,6,1,,,,,,,,,,,,,,,,
,3876316785.70013,1.99942564964294,-87862.8359375,0,0.195,0.0004089043,0.000112352,-2.935275,,,33.56934,2.29376,10,0,4.094383E-06,4.089011E-06,-2.096643E-07,,,,,,90000,-39.35522,-79.20485,,,,,,,,,,,,,,,,,,,,,518897536,0,1,6,1,,,,,,,,,,,,,,,,
,3876316787.60455,2.00011515617371,-87483.2109375,0,0.195,,,,,,,,,,,,,,,,,,,,,-0.01163311,-3.623819E-05,-179.8393,,,6.103516,2.94912,10,0,0.0001163301,-0.0001163297,-3.261942E-07,,,,,,9000,-52.12767,-64.81016,518897536,0,1,6,1,,,,,,,,,,,,,,,,
,3876316788.00167,2.00011801719666,-87403.3125,0,0.195,0.0004058456,0.000111835,-2.923964,,,33.56934,2.29376,10,0,4.063714E-06,4.058423E-06,-2.072926E-07,,,,,,90000,-39.42103,-76.8624,,,,,,,,,,,,,,,,,,,,,518897536,0,1,6,1,,,,,,,,,,,,,,,,
,3876316790.30868,2.00008320808411,-86943.9921875,0,0.195,0.0004026984,0.0001106848,-2.90941,,,33.56934,2.29376,10,0,4.032149E-06,4.026952E-06,-2.046597E-07,,,,,,90000,-39.43417,-74.75575,,,,,,,,,,,,,,,,,,,,,518897536,0,1,6,1,,,,,,,,,,,,,,,,
,3876316790.60971,1.99999928474426,-86884.0234375,0,0.195,,,,,,,,,,,,,,,,,,,,,-0.01151134,-3.560725E-05,-179.8379,,,6.103516,2.94912,10,0,0.0001151125,-0.000115112,-3.257228E-07,,,,,,9000,-52.09496,-65.11521,518897536,0,1,6,1,,,,,,,,,,,,,,,,
,3876316792.51382,1.99975633621216,-86504.6015625,0,0.195,0.000399642,0.0001101888,-2.912159,,,33.56934,2.29376,10,0,4.001556E-06,3.996388E-06,-2.032986E-07,,,,,,90000,-39.45531,-75.27895,,,,,,,,,,,,,,,,,,,,,518897536,0,1,6,1,,,,,,,,,,,,,,,,
,3876316793.5187,2.00012373924255,-86304.7890625,0,0.195,,,,,,,,,,,,,,,,,,,,,-0.01139019,-3.752258E-05,-179.8374,,,6.103516,2.94912,10,0,0.000113901,-0.0001139005,-3.231744E-07,,,,,,9000,-52.03058,-65.15884,518897536,0,1,6,1,,,,,,,,,,,,,,,,
