index,energy
1.00,-0.26
2.00,-0.26
3.00,-0.26
4.00,-0.26
5.00,-0.26
6.00,-0.25
7.00,-0.22
8.00,-0.22
9.00,-0.21
10.00,-0.20
11.00,-0.19
12.00,-0.19
13.00,-0.17
14.00,-0.17
15.00,-0.17
16.00,-0.17
17.00,-0.16
18.00,-0.16
19.00,-0.16
20.00,-0.16
21.00,-0.16
22.00,-0.16
23.00,-0.16
24.00,-0.16
25.00,-0.16
26.00,-0.16
27.00,-0.15
28.00,-0.15
29.00,-0.14
30.00,-0.14
31.00,-0.14
32.00,-0.14
33.00,-0.14
34.00,-0.14
35.00,-0.13
36.00,-0.12
37.00,-0.12
38.00,-0.12
39.00,-0.12
40.00,-0.12
41.00,-0.11
42.00,-0.11
43.00,-0.11
44.00,-0.11
45.00,-0.11
46.00,-0.11
47.00,-0.11
48.00,-0.11
49.00,-0.10
50.00,-0.10
51.00,-0.10
52.00,-0.10
53.00,-0.10
54.00,-0.10
55.00,-0.10
56.00,-0.09
57.00,-0.09
58.00,-0.09
59.00,-0.09
60.00,-0.09
61.00,-0.09
62.00,-0.08
63.00,-0.08
64.00,-0.07
65.00,-0.07
66.00,-0.07
67.00,-0.07
68.00,-0.07
69.00,-0.06
70.00,-0.06
71.00,-0.05
72.00,-0.05
73.00,-0.04
74.00,-0.04
75.00,-0.03
76.00,-0.03
77.00,-0.03
78.00,-0.03
79.00,-0.03
80.00,-0.03
81.00,-0.03
82.00,-0.03
83.00,-0.02
84.00,-0.02
85.00,-0.02
86.00,-0.02
87.00,-0.02
88.00,-0.02
89.00,-0.02
90.00,-0.01
91.00,-0.01
92.00,-0.01
93.00,0.00
94.00,0.00
95.00,0.00
96.00,0.01
97.00,0.01
98.00,0.01
99.00,0.01
100.00,0.02
101.00,0.02
102.00,0.02
103.00,0.03
104.00,0.03
105.00,0.04
106.00,0.04
107.00,0.05
108.00,0.05
109.00,0.06
110.00,0.08
111.00,0.08
112.00,0.09
113.00,0.09
114.00,0.09
115.00,0.09
116.00,0.09
117.00,0.10
118.00,0.10
119.00,0.10
120.00,0.10
121.00,0.11
122.00,0.11
123.00,0.13
124.00,0.13
125.00,0.13
126.00,0.13
127.00,0.13
128.00,0.13
129.00,0.13
130.00,0.13
131.00,0.13
132.00,0.14
133.00,0.14
134.00,0.15
135.00,0.15
136.00,0.16
137.00,0.16
138.00,0.16
139.00,0.16
140.00,0.16
141.00,0.16
142.00,0.16
143.00,0.16
144.00,0.16
145.00,0.16
146.00,0.16
147.00,0.16
148.00,0.16
149.00,0.16
150.00,0.18
151.00,0.22
152.00,0.23
153.00,0.23
154.00,0.24
155.00,0.24
156.00,0.25
157.00,0.25
158.00,0.25
159.00,0.31
160.00,0.33
161.00,0.33
162.00,0.33
163.00,0.33
164.00,0.34
165.00,0.36
166.00,0.36
167.00,0.41
168.00,0.43
169.00,0.43
170.00,0.43
171.00,0.44
172.00,0.45
173.00,0.46
174.00,0.46
175.00,0.46
176.00,0.47
177.00,0.49
178.00,0.49
179.00,0.49
180.00,0.49
181.00,0.50
182.00,0.50
183.00,0.50
184.00,0.50
185.00,0.50
186.00,0.57
